src_link,description,Micrograph_Number,micrometer_values
https://www.doitpoms.ac.uk/miclib/micrographs/small/000186.jpg,"Micrograph
186: 
Silicon Carbide from within a Silicon Nitride-bonded Silicon Carbide sampleSystem: 
Silicon nitride-bonded silicon carbide, 
Composition: 
Particles of SiC in a reaction-bonded Si3N4matrixReflected light microscopy25 μm","Micrograph
186",25 µm
https://www.doitpoms.ac.uk/miclib//images/tpl/uoc-logo.jpg,,,
https://www.doitpoms.ac.uk/miclib/micrographs/small/000187.jpg,"Micrograph
187: 
Part of a Denby pottery mug, showing the glaze on the surfaceSystem: 
Al2O3-SiO2, 
Composition: 
Mostly clay (which consists of alumina and silica)Reflected light microscopy200 μm","Micrograph
187",200 µm
https://www.doitpoms.ac.uk/miclib/micrographs/small/000188.jpg,"Micrograph
188: 
Part of a Denby pottery mugSystem: 
Al2O3-SiO2, 
Composition: 
Mostly clay (which consists of alumina and silica)Reflected light microscopy200 μm","Micrograph
188",200 µm
https://www.doitpoms.ac.uk/miclib/micrographs/small/000193.gif,"Micrograph
193: 
MgO-C Refractory BrickSystem: 
MgO-C, 
Composition: 
MgO 50-90, C 8-37 (wt%), remainder Al, Si metal additionReflected light microscopy200 μm","Micrograph
193",200 µm
https://www.doitpoms.ac.uk/miclib/micrographs/small/000194.gif,"Micrograph
194: 
MgO-C Refractory BrickSystem: 
MgO-C, 
Composition: 
MgO 50-90, C 8-37 (wt%), remainder Al, Si metal additionReflected light microscopy200 μm","Micrograph
194",200 µm
https://www.doitpoms.ac.uk/miclib/micrographs/small/000198.gif,"Micrograph
198: 
96% AluminaSystem: 
Al2O3, 
Composition: 
Al2O396%, remainder MgO, CaO, SiO2Reflected light microscopy250 μm","Micrograph
198",250 µm
https://www.doitpoms.ac.uk/miclib/micrographs/small/000201.jpg,"Micrograph
201: 
Normalised low carbon steel, showing directionalitySystem: 
Fe-C-X, 
Composition: 
Wrought iron (plain carbon steel)Reflected light microscopy400 μm","Micrograph
201",400 µm
https://www.doitpoms.ac.uk/miclib/micrographs/small/000202.jpg,"Micrograph
202: 
Normalised low carbon steel, showing directionalitySystem: 
Fe-C-X, 
Composition: 
Wrought iron (plain carbon steel)Reflected light microscopy200 μm","Micrograph
202",200 µm
https://www.doitpoms.ac.uk/miclib/micrographs/small/000203.jpg,"Micrograph
203: 
Normalised low carbon manganese steel, showing directionalitySystem: 
Fe-C-X, 
Composition: 
Fe, C 0.1, Mn 1, S 0.5 (wt%)Reflected light microscopy400 μm","Micrograph
203",400 µm
https://www.doitpoms.ac.uk/miclib/micrographs/small/000204.jpg,"Micrograph
204: 
Normalised low carbon manganese steel, showing directionalitySystem: 
Fe-C-X, 
Composition: 
Fe, C 0.1, Mn 1, S 0.5 (wt%)Reflected light microscopy200 μm","Micrograph
204",200 µm
